app_name,category,category_new,active_month,city_tier,income,gender,province,age,ppl_cnt
123云盘,手机工具,文档管理,2025-07,一线城市,1.5到2万,男,广东省,35-39岁,110881
123云盘,手机工具,文档管理,2025-07,一线城市,1到1.5万,女,北京市,25-29岁,205089
123云盘,手机工具,文档管理,2025-07,一线城市,3000到5000,男,北京市,25-29岁,25201
123云盘,手机工具,文档管理,2025-07,一线城市,5000到7500,男,北京市,20-24岁,59090
123云盘,手机工具,文档管理,2025-07,一线城市,7500到10000,男,上海市,35-39岁,63584
123云盘,手机工具,文档管理,2025-07,三线城市,1到1.5万,男,河北省,40-44岁,238629
123云盘,手机工具,文档管理,2025-07,三线城市,1到1.5万,男,海南省,25-29岁,153816
123云盘,手机工具,文档管理,2025-07,三线城市,20K+,女,河南省,25-29岁,32663
123云盘,手机工具,文档管理,2025-07,三线城市,20K+,男,广西壮族自治区,大于70岁,80739
123云盘,手机工具,文档管理,2025-07,三线城市,20K+,男,湖北省,35-39岁,42593
123云盘,手机工具,文档管理,2025-07,三线城市,3000元以下,女,福建省,20-24岁,40195
123云盘,手机工具,文档管理,2025-07,三线城市,3000元以下,男,安徽省,50-54岁,106449
123云盘,手机工具,文档管理,2025-07,三线城市,3000元以下,男,广东省,20-24岁,46850
123云盘,手机工具,文档管理,2025-07,三线城市,3000元以下,男,广东省,30-34岁,44814
123云盘,手机工具,文档管理,2025-07,三线城市,3000元以下,男,江西省,小于20岁,76231
123云盘,手机工具,文档管理,2025-07,三线城市,3000元以下,男,河北省,20-24岁,46850
123云盘,手机工具,文档管理,2025-07,三线城市,3000到5000,男,广东省,35-39岁,30821
123云盘,手机工具,文档管理,2025-07,三线城市,5000到7500,女,河南省,35-39岁,60528
123云盘,手机工具,文档管理,2025-07,三线城市,5000到7500,男,山东省,20-24岁,59090
123云盘,手机工具,文档管理,2025-07,三线城市,5000到7500,男,江苏省,35-39岁,54779
123云盘,手机工具,文档管理,2025-07,三线城市,7500到10000,男,湖北省,小于20岁,122241
123云盘,手机工具,文档管理,2025-07,二线城市,1.5到2万,女,江西省,30-34岁,180911
